2026-05-29 06:02:23 | INFO     | main | 
############################################################
2026-05-29 06:02:23 | INFO     | main |   CYCLE #5
2026-05-29 06:02:23 | INFO     | main | ############################################################
2026-05-29 06:02:23 | INFO     | src.controllers.trading_controller | ========================================
Cycle #5
2026-05-29 06:02:23 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:23 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:23 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:24 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:24 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:24 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:24 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:24 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:24 | INFO     | main | Cycle 5 completed: HOLD
2026-05-29 06:02:24 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:24 | INFO     | main | 
############################################################
2026-05-29 06:02:24 | INFO     | main |   CYCLE #6
2026-05-29 06:02:24 | INFO     | main | ############################################################
2026-05-29 06:02:24 | INFO     | src.controllers.trading_controller | ========================================
Cycle #6
2026-05-29 06:02:24 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:24 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:25 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:25 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:25 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:25 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:25 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:25 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:25 | INFO     | main | Cycle 6 completed: HOLD
2026-05-29 06:02:25 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:25 | INFO     | main | 
############################################################
2026-05-29 06:02:25 | INFO     | main |   CYCLE #7
2026-05-29 06:02:25 | INFO     | main | ############################################################
2026-05-29 06:02:25 | INFO     | src.controllers.trading_controller | ========================================
Cycle #7
2026-05-29 06:02:25 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:26 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:26 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:26 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:26 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:26 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:26 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:26 | INFO     | src.controllers.trading_controller | Signal: HOLD
2026-05-29 06:02:26 | INFO     | main | Cycle 7 completed: HOLD
2026-05-29 06:02:26 | INFO     | main | Waiting 1 min for next cycle...
2026-05-29 06:02:26 | INFO     | main | 
############################################################
2026-05-29 06:02:26 | INFO     | main |   CYCLE #8
2026-05-29 06:02:26 | INFO     | main | ############################################################
2026-05-29 06:02:26 | INFO     | src.controllers.trading_controller | ========================================
Cycle #8
2026-05-29 06:02:27 | INFO     | src.services.strategy_service |   Breakout: return=-0.08%, trades=60, wr=33.3%
2026-05-29 06:02:27 | INFO     | src.services.strategy_service |   MA_Crossover: return=0.02%, trades=92, wr=39.1%
2026-05-29 06:02:27 | INFO     | src.services.strategy_service |   RSI: return=0.01%, trades=12, wr=50.0%
2026-05-29 06:02:27 | INFO     | src.services.strategy_service |   MACD: return=-0.31%, trades=226, wr=28.3%
2026-05-29 06:02:28 | INFO     | src.services.strategy_service |   Bollinger: return=-0.25%, trades=108, wr=61.1%
2026-05-29 06:02:28 | INFO     | src.services.strategy_service | Regime: CHOPPY
2026-05-29 06:02:28 | INFO     | src.services.strategy_service | Best strategy: RSI (weighted: 0.01)
2026-05-29 06:02:28 | INFO     | src.controllers.trading_controller | Signal: HOLD
