2026-05-29 02:01:04 | INFO     | src.persistence.database | MySQL connection established
2026-05-29 02:01:04 | INFO     | src.configuration.manager | Config loaded from DB (116 keys)
2026-05-29 02:01:04 | INFO     | src.trading.engine | Using MT5 exchange
2026-05-29 02:01:04 | INFO     | src.ml.model | ML model loaded from models/latest_model.pkl
2026-05-29 02:01:04 | INFO     | src.ml.trainer | Loaded pre-trained ML model from disk
2026-05-29 02:01:04 | INFO     | src.rpc.websocket | WS server starting on ws://localhost:8765
2026-05-29 02:01:04 | INFO     | src.rpc.websocket | WS pusher started (every 1.5s)
2026-05-29 02:01:04 | INFO     | src.trading.engine | Bot ready: XAUUSD/TIMEFRAME_M15, paper=False, strategies=['Breakout', 'MA_Crossover', 'RSI', 'MACD', 'Bollinger']
2026-05-29 02:01:04 | INFO     | src.worker | Worker loop started
2026-05-29 02:01:04 | INFO     | src.trading.engine | ========================================
Cycle #1
2026-05-29 02:01:04 | INFO     | src.worker | Worker started
2026-05-29 02:01:05 | INFO     | src.exchange.mt5 | Initialising MT5 connection...
2026-05-29 02:01:08 | INFO     | src.exchange.mt5 | MT5 initialised, Market Watch enabled for XAUUSD
2026-05-29 02:01:08 | INFO     | src.persistence.database | MySQL connection established
2026-05-29 02:01:08 | INFO     | src.rpc.websocket | WS ready on ws://localhost:8765
2026-05-29 02:01:08 | INFO     | src.data.provider | Incremental: 92 new candles
2026-05-29 02:01:09 | INFO     | src.trading.engine |   Breakout: return=-31.86%, trades=78, wr=41.0%
2026-05-29 02:01:09 | INFO     | src.trading.engine |   MA_Crossover: return=-68.50%, trades=230, wr=30.4%
2026-05-29 02:01:09 | INFO     | src.trading.engine |   RSI: return=-38.58%, trades=94, wr=48.9%
2026-05-29 02:01:10 | INFO     | src.trading.engine |   MACD: return=-83.67%, trades=350, wr=24.0%
2026-05-29 02:01:10 | INFO     | src.trading.engine |   Bollinger: return=-39.85%, trades=102, wr=51.0%
2026-05-29 02:01:10 | INFO     | src.trading.engine | Regime: TRENDING
2026-05-29 02:01:10 | INFO     | src.trading.engine | Best strategy: RSI (weighted: -11.57)
2026-05-29 02:01:10 | WARNING  | src.trading.engine | Breakout FAILED: dd=31.9%>30.0%
2026-05-29 02:01:11 | WARNING  | src.trading.engine | MA_Crossover FAILED: dd=68.5%>30.0%
2026-05-29 02:01:11 | WARNING  | src.trading.engine | RSI FAILED: dd=38.6%>30.0%
2026-05-29 02:01:11 | WARNING  | src.trading.engine | MACD FAILED: dd=83.7%>30.0%
2026-05-29 02:01:11 | WARNING  | src.trading.engine | Bollinger FAILED: dd=39.9%>30.0%
2026-05-29 02:01:11 | WARNING  | src.trading.engine | Disabled: ['Breakout', 'MA_Crossover', 'RSI', 'MACD', 'Bollinger']
2026-05-29 02:01:11 | INFO     | src.ml.model | ML model loaded from models/latest_model.pkl
2026-05-29 02:01:11 | INFO     | src.trading.engine | Signal: HOLD
2026-05-29 02:01:11 | INFO     | src.trading.pairlist | Pairlist refreshed: 1 pairs
2026-05-29 02:01:11 | ERROR    | src.worker | Worker cycle error: name 'set_shared' is not defined
2026-05-29 02:01:11 | INFO     | src.worker | Worker stopping...
2026-05-29 02:01:11 | INFO     | src.exchange.mt5 | Shutting down MT5...
2026-05-29 02:01:11 | INFO     | src.exchange.mt5 | MT5 shutdown complete
2026-05-29 03:57:20 | INFO     | src.persistence.database | Database does not exist, creating it...
2026-05-29 03:57:20 | INFO     | src.persistence.database | Database `trading_bot` created successfully
2026-05-29 03:57:20 | INFO     | src.persistence.database | MySQL connection established
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
2026-05-29 03:57:20 | WARNING  | src.persistence.database | Could not ensure tables: 1146 (42S02): Table 'trading_bot.trade_history' doesn't exist
